Ticker,w_MV_allow,w_CVaR_allow,w_MV_long,w_CVaR_long
CSCO,-0.047530933759228164,-0.04451525603830279,1.1353604542296827e-19,0.0
C,-0.021898257962370774,0.0019442626684666614,0.0,0.0
CFG,0.0043371748319391236,0.07341560869336115,0.0,0.0
CLX,-0.013361900775252417,-0.04175317662551036,0.0,0.0
CME,0.09035512467539886,0.03276115515067638,0.10481996669579237,0.12741457695998035
CMS,0.10237424481519931,0.09296198703680557,1.504055402177027e-18,0.0
KO,0.0818327534415564,0.00414429698614781,0.04035428735741048,0.028839735747670747
CTSH,-0.022470587080921454,-0.02280492205545402,0.0,0.0
COIN,-0.00803159766994406,-0.0025446926386802847,0.0,0.0
CL,0.020402599356018892,0.0890200277564025,1.190015763510475e-18,0.0
CMCSA,0.04073317285330976,0.11372071170888086,0.0,0.0
CAG,-0.007825457504656139,0.015923865816170186,3.115568450297749e-20,0.0
COP,-0.04374721913362664,-0.036261511443924775,0.0,0.007815596053779173
ED,0.011311192460677173,0.05417942830744182,2.0338474111473601e-19,0.0
STZ,0.046477500336679245,0.035822589890112846,7.374845713665069e-20,0.0
CEG,0.007717709095845272,4.426025110879608e-05,2.833914431277433e-19,0.0
COO,0.03365118680775577,0.033368780609739135,9.887954081822362e-21,0.0
CPRT,0.06791476221747728,0.07190278255304255,0.0,0.0
GLW,0.023389569589155473,0.012749771497277993,0.0,0.0
CPAY,-0.022851940077075097,-0.037279412756495156,0.0,0.0
CTVA,-0.008042291059831674,-0.0018415628807533216,0.0,0.0
CSGP,0.034027400198460754,0.06307790370517946,5.4036692360333755e-20,0.0
COST,0.01637932917571679,0.03826862843530533,0.0,0.0
CTRA,0.0038572901722234818,-0.014776298306121892,0.0,0.0
CRWD,0.010201767327855344,0.02803363399374052,2.09971875349636e-19,0.0
CCI,0.03780218151717968,0.06422696634940744,0.0,0.0
CSX,0.017106430714390473,0.026399272650471376,0.0,0.0
CMI,0.07075185552605698,0.0056995645847169795,8.730998312619049e-20,0.0
CVS,0.02660158597720874,0.010850239619141305,2.370371106696296e-19,0.0
DHR,0.01931309836533752,0.04124106603601467,0.0,0.0
DRI,0.006847694992287348,0.01561612120269798,0.010775075082679376,0.0
DDOG,0.010425524972122577,0.00022390363853129025,5.423593018437404e-19,0.0
DVA,0.009559882697442956,0.020008367638103663,3.306016688653507e-19,0.0
DAY,-0.014438178396343152,-0.03142426734495281,1.0147302922597921e-20,0.0
DECK,-0.001184764053636649,0.0013789733144498031,0.005637502334281725,0.012785739549409232
DE,-0.00836031792647975,-0.021032181117926,0.0,0.0
DELL,-0.009049490944779227,-0.008061315684865499,0.0,0.0
DAL,-0.013251398267273477,-0.0369743209095574,8.80703543601173e-21,0.0
DVN,-0.011317409646790899,0.01183967473947751,2.570696971769913e-19,0.0
DXCM,0.0009048616224817856,0.006914140161747232,2.6076167139632248e-20,0.0
FANG,0.10040259637200105,0.16507048730695875,0.0,0.0
DLR,0.035304516076822424,0.036641831908107325,5.41177429630614e-20,0.0
DG,-0.007936927592721613,0.0013108271947654632,0.0,0.0
DLTR,0.0036056659206460387,-0.02158478916048214,1.2573430152401714e-18,0.00851587983200838
D,0.00014604320725344287,-0.0010036890509649973,0.0,0.0
DPZ,-0.021762830864477268,-0.028511291902738874,1.034191503986186e-19,0.0
DASH,-0.007050891011673137,-0.004542513617702146,0.0,0.0
DOV,0.04619677108776818,0.05894646050696362,0.0,0.0
DOW,0.026551237315359303,0.04369028395789092,5.851107823420054e-20,0.0
DHI,0.012739112686475191,-0.04689619719124075,0.000578970300981561,0.012491755990174894
DTE,-0.04079501050872861,-0.09780903339824015,0.0,0.0
DUK,0.1268744251578418,0.1867540999601895,0.0009190861432590655,0.0
DD,-0.03577652042853824,-0.029375339510557263,0.0,0.0
EMN,-0.05634232142312066,-0.05403022482291631,0.0,0.0
ETN,0.030629435400622875,-0.03954524426263363,4.2190658053655804e-20,0.0
EBAY,-0.02774898115034123,-0.055282737416583475,0.0,0.0
ECL,0.03447557538321182,0.012422287766244261,0.0,0.0
EIX,-0.028627672070067174,-0.023364406468769132,0.0,0.0
EW,0.02938063781873882,-0.0027540324118545813,2.6461717396394684e-20,0.0
EA,0.03837498116021733,0.04571490809579053,0.0,0.002195187507403253
ELV,-0.035989343730973816,-0.06641866568949023,4.991369436563711e-19,0.0
EME,0.0004781481366427736,0.01731686679995717,0.01146287786395975,0.0
EMR,0.043963809684201986,0.07353893568059562,0.0,0.0
ETR,-0.06689196872170763,-0.0608455546302474,7.847428778827736e-20,0.0
EOG,0.046216762209438,-0.008470276831863447,0.0,0.0
EPAM,0.01768419643179813,0.022739017315009852,1.1243642486434337e-19,0.0
